	SARS004_mock_3	SARS004_mock_2	SARS004_mock_1	SARS004_CoV2_3	SARS004_CoV2_2	SARS004_CoV2_1	CoV002-mock3-indexG3	CoV002-mock2-indexG2	CoV002-mock1-indexG1	CoV002-CoV2-3-indexG6	CoV002-CoV2-2-indexG5	CoV002-CoV2-1-indexG4	svRNA184-mock-3-indexF3	svRNA184-mock-1-indexF1	svRNA184-RSV-3-indexH9	svRNA184-RSV-1-indexF4	3_9_mock1_13	3_9_mock2_14	3_9_wt1_15	3_9_wt2_16
LINC00601	3	0	1	0	0	6	0	0	0	1	2	1	0	2	1	0	0	0	0	0
C10orf90	0	0	0	0	1	0	9	4	4	17	14	11	46	33	26	20	3	3	16	0
DOCK1	551	454	828	488	498	1346	2527	1419	1157	2911	2550	2051	1056	867	270	164	493	974	1124	238
FAM196A	1	0	3	0	1	5	9	6	5	4	4	8	16	20	3	4	7	20	25	5
NPS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXI2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLRN3	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0
PTPRE	255	258	450	248	224	719	18	16	15	36	39	33	18	7	7	1	6	7	3	7
MKI67	1420	1175	1792	930	998	2913	8928	4554	4260	9439	8327	6565	2243	1667	350	251	1872	3793	5755	848
MGMT	219	243	355	277	161	486	151	104	87	172	203	124	549	350	108	76	42	60	46	19
EBF3	0	0	0	0	0	1	3	0	1	2	2	6	14	5	5	0	2	2	6	0
MIR4297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC387723	14	12	10	9	10	13	26	7	10	23	16	23	27	19	9	6	7	5	11	7
CTAGE7P	2	1	0	0	0	0	23	13	9	14	13	11	21	13	1	2	7	21	17	1
GLRX3	1071	999	1920	897	910	3018	2292	1238	758	3265	2308	1674	1238	1258	463	323	458	973	1391	316
MIR378C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCERG1L	3	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FLJ46300	0	0	0	0	0	0	2	2	0	1	1	1	3	1	0	0	0	1	0	0
PPP2R2D	477	473	723	449	502	1208	613	357	256	836	671	539	740	561	225	125	148	267	387	56
BNIP3	1644	1302	2347	1294	1376	4217	2307	1411	1034	3856	2920	2236	2217	2037	849	494	239	593	669	104
JAKMIP3	4	6	11	5	1	25	361	212	184	385	363	267	456	418	142	98	69	122	126	29
DPYSL4	226	210	255	239	180	451	288	167	124	326	301	260	528	344	157	98	47	65	29	15
STK32C	32	33	45	32	25	97	500	271	252	550	538	381	466	308	141	113	98	137	142	40
LRRC27	56	40	57	35	56	158	187	102	76	212	175	143	269	210	72	57	41	64	69	25
PWWP2B	74	89	120	105	58	215	396	241	207	449	413	320	548	419	184	121	86	128	32	30
C10orf91	9	10	20	6	6	25	38	18	16	53	52	34	783	578	222	102	28	50	21	4
INPP5A	178	157	234	170	142	415	402	262	160	477	399	326	368	320	60	49	66	152	155	57
NKX6-2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TTC40	3	1	13	3	8	9	14	10	8	32	30	9	8	16	6	7	7	7	13	1
LOC399829	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR123	0	0	0	0	0	0	1	0	0	1	1	1	2	1	0	0	1	2	0	0
KNDC1	0	2	1	0	0	0	72	39	22	77	73	63	201	139	70	76	23	34	20	6
UTF1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
VENTX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM8	109	117	150	239	151	575	143	84	39	135	116	111	490	266	107	69	13	27	13	14
TUBGCP2	1011	835	1396	1079	855	2592	2075	1240	883	2298	2246	1791	2135	1616	724	489	406	787	633	193
ZNF511	128	117	187	148	100	397	458	248	178	433	448	332	649	455	215	189	92	148	172	64
CALY	0	0	1	0	0	0	9	3	0	6	5	3	77	29	13	5	1	1	0	0
PRAP1	0	0	0	2	0	0	5	4	6	2	3	0	14	9	2	3	0	1	0	0
FUOM	72	54	79	82	71	163	100	43	42	93	91	88	148	94	52	53	16	32	17	15
ECHS1	770	780	1064	755	698	2391	3008	1765	1271	3520	3118	2346	3254	2702	795	638	583	891	843	277
MIR3944	0	2	0	0	0	0	0	1	0	1	1	1	2	0	0	0	0	0	1	0
PAOX	17	15	30	25	17	70	96	48	54	118	91	91	143	98	56	23	20	39	13	3
MTG1	212	152	250	163	149	507	1310	775	560	1348	1290	975	1637	1339	438	319	228	439	259	87
SPRN	7	5	5	3	2	13	191	153	96	214	207	172	494	344	101	85	35	34	10	7
LOC619207	5	3	6	15	7	23	17	6	7	18	21	13	61	49	31	18	3	5	1	1
CYP2E1	29	34	42	39	38	89	1	1	1	4	1	0	25	27	11	11	0	2	6	0
SYCE1	2	2	1	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SPRNP1	0	0	0	0	0	0	1	0	0	1	0	2	1	4	0	0	0	0	0	0
FRG2B	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
DUX4L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUX4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUX2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
LOC100133161	33	40	56	40	36	111	10	3	2	14	14	6	21	12	14	3	2	3	1	0
LOC653486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCGB1C1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ODF3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
BET1L	668	571	1024	650	585	1770	1153	669	459	1225	1191	822	1270	1065	379	256	196	384	129	56
RIC8A	1332	1251	1747	1414	1019	3794	2730	1596	1262	2938	2975	2184	1894	1517	529	421	410	825	419	186
SIRT3	95	86	121	77	91	230	555	377	269	611	583	446	874	621	244	147	134	248	137	34
PSMD13	1797	1471	2361	1476	1584	4685	3163	1852	1332	3919	3310	2295	2902	2429	764	634	522	953	1266	301
NLRP6	0	0	0	0	0	0	1	0	0	1	0	1	5	1	2	0	0	0	1	0
ATHL1	215	223	321	273	172	630	679	435	333	889	852	687	4374	3399	1793	1105	68	148	42	27
IFITM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFITM2	384	308	420	378	353	1200	402	230	190	700	710	443	2789	1782	1669	907	66	201	122	38
IFITM1	38	54	71	124	107	430	3	2	0	58	51	33	357	297	676	409	11	21	3	0
IFITM3	1445	1326	1666	2313	1682	5692	133	69	56	295	248	178	711	555	863	482	21	65	10	6
B4GALNT4	323	349	610	392	292	955	416	282	181	679	637	498	2211	1341	577	384	75	119	61	22
PKP3	1305	1412	1763	1655	1023	2930	1609	897	642	1574	1463	1179	1898	1354	441	300	282	545	143	88
SIGIRR	19	24	54	42	23	80	759	436	363	931	856	573	1100	752	433	278	144	269	139	102
ANO9	517	569	609	665	396	1354	23	7	14	24	23	27	221	165	30	20	0	2	0	2
PTDSS2	241	312	399	327	241	659	1259	733	565	1392	1368	988	1660	1188	466	448	163	335	184	85
RNH1	696	694	1086	971	540	1868	4403	2494	1880	4487	4208	3208	4026	2981	1044	828	753	1404	480	303
HRAS	426	431	625	458	377	1205	992	572	400	1076	1086	832	1161	686	324	297	155	258	241	93
LRRC56	6	14	13	16	6	23	57	24	16	44	34	32	87	58	42	21	5	16	1	0
C11orf35	9	15	10	11	9	28	352	188	135	389	324	302	1689	1331	580	308	33	73	10	8
RASSF7	174	243	316	272	143	440	1530	904	726	1530	1627	1204	3416	2546	714	499	172	295	101	62
MIR210HG	275	270	342	301	256	697	241	148	101	322	285	189	1180	937	310	220	7	14	1	0
MIR210	0	7	0	1	0	2	13	8	0	24	11	14	64	48	37	10	3	3	0	0
LOC143666	26	23	20	9	16	26	63	32	33	69	52	60	163	116	23	15	8	11	3	1
PHRF1	793	886	1219	1017	686	2378	2015	1134	845	2118	2104	1630	1807	1208	552	331	282	605	364	116
IRF7	19	28	32	82	44	164	97	50	34	853	918	698	591	462	2745	1569	22	60	23	5
CDHR5	0	0	0	0	0	0	19	9	4	16	5	7	2	6	4	1	4	3	1	0
SCT	0	0	0	0	0	0	5	1	0	2	6	1	5	0	9	2	0	1	0	0
DRD4	0	0	0	1	0	0	14	2	6	7	6	4	32	9	5	0	0	2	0	0
DEAF1	165	140	230	157	109	379	547	278	216	554	580	428	757	552	225	150	86	155	157	51
TMEM80	52	69	96	53	53	181	297	190	161	333	326	235	579	468	167	110	73	117	56	22
EPS8L2	3076	3605	4995	3497	2391	7443	4071	2308	1840	4335	4062	3289	7494	5389	2080	1186	733	1328	515	213
TALDO1	2220	1954	2914	2171	1771	5938	10755	6516	4465	11757	10626	7507	14462	9839	3986	2748	1937	4128	3280	900
PDDC1	566	639	925	715	495	1608	1479	890	716	1471	1338	1054	2198	1904	516	401	204	368	159	61
NS3BP	7	7	12	9	7	29	119	70	52	120	82	80	166	149	52	29	10	27	5	8
CEND1	0	0	0	0	0	1	33	10	4	28	21	18	37	23	10	3	9	9	5	6
SLC25A22	171	167	199	218	126	368	510	272	229	481	489	389	762	602	248	165	93	178	41	44
PIDD	82	104	120	104	50	198	525	319	232	585	551	454	1320	911	392	243	64	167	30	35
RPLP2	3266	2730	3405	3657	2460	8446	15972	8965	5759	20033	17647	11163	37224	24381	11305	7323	3108	6307	3538	1649
SNORA52	1	1	2	7	4	5	19	5	5	10	9	11	29	26	5	6	3	0	0	0
PNPLA2	332	409	461	465	243	884	954	491	420	896	846	755	2489	1830	990	563	233	450	192	113
EFCAB4A	34	36	34	31	23	40	123	60	43	84	85	64	303	214	37	28	15	38	13	9
CD151	3922	4160	5757	4838	2972	9637	11392	6836	4499	11550	11759	7903	10863	9076	3536	2407	1628	2819	1091	685
POLR2L	1793	1805	3084	1807	1385	4216	5269	3058	2167	6138	6071	3726	8439	4682	2474	1447	1051	2404	1129	291
TSPAN4	175	202	263	271	116	468	3325	1904	1328	3252	3241	2335	5934	4415	1721	1129	571	993	200	155
CHID1	411	396	592	431	329	1015	1238	753	561	1423	1392	949	1404	1078	341	310	180	385	142	80
AP2A2	775	745	1315	848	651	2207	2092	1249	953	2356	2327	1888	2171	1842	595	484	385	844	784	219
MUC6	0	0	0	0	0	0	50	6	4	13	11	2	33	48	5	7	2	5	1	0
MUC2	0	0	1	0	1	0	5	5	4	2	4	7	42	16	22	8	0	4	6	1
MUC5B	0	0	1	2	1	0	509	229	172	505	373	309	14232	12552	5048	2909	137	274	152	54
TOLLIP	740	751	984	714	633	1807	1415	797	592	1344	1337	968	1413	1073	480	295	215	403	237	80
LOC255512	1	2	3	3	2	1	14	7	7	16	14	11	20	26	9	3	2	10	7	3
BRSK2	0	3	1	2	0	4	348	202	134	405	392	317	382	276	120	69	41	85	42	19
MOB2	691	577	807	633	524	1318	663	385	265	744	685	445	844	685	254	236	92	212	94	32
DUSP8	30	29	54	55	37	121	93	61	40	106	123	62	238	184	89	40	8	18	10	5
LOC338651	21	9	15	23	15	36	0	0	2	2	2	1	0	5	0	1	0	0	0	0
KRTAP5-1	0	2	0	0	0	0	3	0	4	1	3	1	36	23	2	4	0	2	0	0
KRTAP5-2	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP5-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP5-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP5-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM99A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM99B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP5-6	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0
IFITM10	217	313	281	85	62	204	114	65	38	101	81	70	490	378	212	123	21	35	22	11
CTSD	6998	8637	10226	7324	4425	13388	10601	5910	4486	9984	9700	7520	19300	15059	4816	3720	1524	2803	828	558
SYT8	22	29	49	21	15	31	0	1	0	0	0	0	6	6	0	0	0	0	0	0
TNNI2	19	16	24	9	3	18	0	0	0	0	2	0	0	1	0	0	1	0	0	0
LSP1	30	14	30	17	26	34	9	9	10	8	10	10	6	6	10	9	3	1	3	1
MIR4298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNNT3	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPL23	328	281	508	270	247	836	1486	797	684	1669	1499	1179	3368	2113	1053	621	207	477	209	123
MRPL23-AS1	0	0	0	0	0	0	23	13	9	16	17	5	47	43	14	6	6	10	3	0
H19	158	176	191	139	94	229	39	16	23	30	36	21	63	48	9	4	13	20	21	3
MIR675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INS-IGF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGF2	12	17	13	16	11	50	1	1	1	5	3	2	1	0	0	0	0	3	1	0
MIR483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGF2-AS	0	0	1	2	0	1	1	1	0	0	0	0	0	0	0	0	0	2	0	2
INS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TH	0	1	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASCL2	5	13	2	1	5	14	0	0	0	0	1	0	37	9	4	3	1	0	0	0
C11orf21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TSPAN32	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2
CD81	2922	2851	3510	3317	2395	7090	4261	2531	1927	4693	4803	3442	8435	5998	2484	1773	761	1204	512	276
TSSC4	161	143	233	172	100	316	778	444	403	851	860	661	964	678	210	220	125	244	50	61
TRPM5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
KCNQ1	1	5	11	9	8	22	17	5	7	17	20	11	51	31	6	6	3	10	0	1
KCNQ1OT1	35	38	61	32	49	94	105	40	29	57	46	49	119	124	28	13	22	30	27	11
KCNQ1DN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN1C	14	12	24	7	12	27	15	7	5	17	5	7	66	60	25	16	5	3	8	2
SLC22A18AS	1	8	4	4	6	21	117	52	35	100	97	63	247	149	50	24	14	24	20	14
SLC22A18	44	47	53	42	21	121	737	389	271	655	605	486	2684	1694	816	411	98	186	29	33
PHLDA2	134	207	259	277	99	459	619	317	268	642	586	452	1184	671	1101	481	99	280	173	75
NAP1L4	2631	2279	3693	1928	2104	6070	3513	2009	1457	4520	3805	2822	2686	2181	691	502	731	1463	1539	369
SNORA54	1	0	0	0	0	1	1	0	2	1	0	0	3	0	0	1	0	0	0	0
CARS	916	722	1278	818	809	2359	1369	829	621	1565	1416	1085	1016	823	370	276	321	550	694	203
OSBPL5	88	85	102	91	79	245	447	215	182	407	420	304	426	328	138	84	88	159	94	44
MRGPRG	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MRGPRG-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRGPRE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF195	251	237	461	225	279	695	435	211	210	702	508	352	752	681	283	131	80	197	327	56
LOC650368	1	0	0	1	4	4	3	0	0	0	3	1	0	0	0	0	0	0	0	0
OR7E12P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRPC2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ART5	0	0	0	0	0	0	16	9	6	10	6	9	15	8	2	0	2	0	0	1
ART1	0	0	0	0	0	0	2	2	1	3	5	1	2	0	1	1	0	0	0	1
CHRNA10	4	7	9	5	3	5	27	11	9	18	21	15	39	24	12	7	2	9	7	3
NUP98	1376	1203	2149	1197	1290	3630	3419	1813	1453	4445	3514	2562	1369	1180	398	267	667	1519	1480	355
PGAP2	217	208	312	200	192	623	579	352	235	711	597	456	972	712	301	168	126	302	104	68
RHOG	271	248	394	319	228	841	1180	741	472	1329	1226	891	1228	1064	491	260	255	496	161	129
STIM1	761	736	1078	728	684	1902	1154	729	553	1450	1303	996	1140	975	332	208	186	305	293	103
MIR4687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RRM1	701	701	1229	592	638	1731	4055	2152	1717	6456	4514	3226	1049	952	199	133	734	1534	1752	385
LOC100506082	2	5	2	0	0	7	3	3	3	8	4	3	4	8	0	1	1	0	0	1
OR52B4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM21	554	416	713	520	581	1530	580	334	272	960	976	618	643	481	872	667	110	236	276	51
OR52K2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR52K1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OR52M1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C11orf40	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OR52I2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR52I1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
TRIM68	227	184	273	165	189	547	416	251	212	459	382	317	284	226	68	48	89	182	135	31
OR51D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR51E1	0	0	0	0	0	0	2	0	1	4	1	1	3	5	0	0	0	0	0	0
OR51E2	0	0	0	0	0	0	0	1	0	2	2	0	0	1	0	0	0	0	0	0
OR51F1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR52R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR51F2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR51S1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR51T1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR51A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR51G2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR51G1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR51A4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR51A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMP26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR51L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR52J3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR52E2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR52A5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR52A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR51V1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HBB	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0
HBD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HBBP1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HBG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HBG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HBE1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
OR51B4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OR51B2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR51B5	0	0	0	0	0	0	0	0	1	0	1	0	1	2	0	0	0	0	0	0
OR51B6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR51M1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR51Q1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR51I1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR51I2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR52D1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
UBQLN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBQLNL	4	9	21	7	9	18	3	2	0	1	0	2	5	10	12	1	0	1	2	0
OR52H1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR52B6	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
TRIM6	213	238	349	121	202	528	311	181	114	482	334	265	435	467	177	93	80	182	242	56
TRIM6-TRIM34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM34	1	2	2	0	2	9	0	0	0	1	1	0	1	2	1	1	0	0	0	0
TRIM5	718	687	1070	657	683	2047	547	297	264	859	639	481	543	583	385	227	115	222	301	61
TRIM22	1201	1182	1726	1107	1300	3383	14	6	8	38	21	16	88	73	361	145	12	32	17	1
OR56B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR52N4	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR52N5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR52N1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR52N2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR52E6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR52E8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR52E4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR56A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR56A5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR52L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR56A4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR56A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR56B4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR52B2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR52W1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
C11orf42	0	0	0	0	0	0	2	5	5	5	8	2	0	3	0	0	1	2	0	4
FAM160A2	189	210	243	205	176	550	618	370	243	695	594	461	777	664	188	136	115	188	62	40
CNGA4	14	10	15	9	10	31	4	0	0	7	3	5	5	5	3	1	2	1	2	0
CCKBR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCDBP	93	107	142	60	69	222	53	18	16	37	36	32	51	14	23	7	2	5	1	2
SMPD1	203	237	268	172	153	456	231	154	117	209	189	153	484	349	97	48	44	98	34	21
APBB1	33	32	38	24	28	62	893	530	389	992	892	678	568	559	127	94	167	272	150	47
HPX	11	9	17	8	4	16	7	1	3	2	4	6	84	56	7	2	0	4	2	3
TRIM3	79	100	163	90	81	281	457	294	178	467	470	335	618	413	109	75	74	139	120	28
ARFIP2	915	815	1142	845	869	2645	1383	878	695	1829	1673	1241	1668	1448	508	362	259	512	327	117
TIMM10B	514	551	981	441	473	1370	695	395	268	913	702	539	494	473	189	121	155	300	290	69
DNHD1	104	119	186	118	133	376	842	393	307	787	640	559	1261	914	458	225	84	140	151	35
RRP8	159	163	190	156	138	418	524	268	236	554	463	350	378	317	100	82	80	174	87	27
ILK	1144	1037	1490	1156	1000	3010	3008	1821	1429	3407	3314	2568	2223	1832	757	518	523	988	859	283
TAF10	740	670	1072	621	649	2126	1895	1041	874	2084	2216	1468	3257	1945	1489	687	352	819	453	154
TPP1	1680	1831	3101	1401	1490	3901	2375	1318	874	2660	2188	1599	2120	2359	874	412	381	837	838	224
DCHS1	3	1	10	4	2	9	26	10	11	17	34	17	9	7	3	0	1	4	11	2
MRPL17	566	498	841	727	520	1674	2295	1329	1011	3107	2687	1925	3030	2031	1285	922	379	823	733	258
GVINP1	1	6	9	2	2	12	1	1	0	0	0	0	0	0	0	0	0	0	0	0
OR2AG2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
OR2AG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR6A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10A5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10A4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR2D3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF215	70	62	91	57	52	187	53	33	16	95	62	48	28	16	12	3	9	30	33	3
ZNF214	35	33	53	16	28	60	29	15	13	53	28	21	9	29	1	0	5	11	8	2
NLRP14	0	1	0	1	3	5	0	0	0	0	1	0	0	1	0	0	0	0	2	0
RBMXL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYT9	0	0	1	0	1	0	9	3	4	10	14	8	2	4	2	2	1	1	2	0
OLFML1	0	0	0	0	0	0	1	1	0	1	1	2	4	4	2	0	0	0	1	0
PPFIBP2	162	145	196	135	117	358	955	545	522	1249	1064	811	868	668	254	164	182	382	425	88
CYB5R2	176	125	203	157	164	516	56	35	26	94	84	62	51	49	19	12	5	7	13	2
OVCH2	21	17	26	4	12	33	0	0	0	0	0	0	0	0	1	0	0	0	1	0
OR5P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OR5P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OR5E1P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC283299	13	22	33	14	9	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR10A6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
